Verbo,Regolare,Significato,Präteritum,Participio passato,Perfetto,Caso,Riflessivo,Frequenza
bewahren,sì,conservare,bewahrte,bewahrt,hat bewahrt,Akkusativ,no,2
erhalten,no,conservare,erhielt,erhalten,hat erhalten,Akkusativ,no,2
aufbewahren,sì,conservare,bewahrte auf,aufbewahrt,hat aufbewahrt,Akkusativ,no,2
speichern,sì,salvare/memorizzare,speicherte,gespeichert,hat gespeichert,Akkusativ,no,2
lagern,sì,immagazzinare,lagerte,gelagert,hat gelagert,Akkusativ,no,3
aufheben,no,conservare,hob auf,aufgehoben,hat aufgehoben,Akkusativ,no,2
wegwerfen,no,buttare via,warf weg,weggeworfen,hat weggeworfen,Akkusativ,no,1
entsorgen,sì,smaltire,entsorgte,entsorgt,hat entsorgt,Akkusativ,no,3
beseitigen,sì,eliminare,beseitigte,beseitigt,hat beseitigt,Akkusativ,no,3
entfernen,sì,rimuovere,entfernte,entfernt,hat entfernt,Akkusativ,no,2
löschen,sì,cancellare,löschte,gelöscht,hat gelöscht,Akkusativ,no,2
streichen,no,cancellare,strich,gestrichen,hat gestrichen,Akkusativ,no,2
tilgen,sì,cancellare,tilgte,getilgt,hat getilgt,Akkusativ,no,4
vernichten,sì,distruggere,vernichtete,vernichtet,hat vernichtet,Akkusativ,no,3
zerstören,sì,distruggere,zerstörte,zerstört,hat zerstört,Akkusativ,no,2
ruinieren,sì,rovinare,ruinierte,ruiniert,hat ruiniert,Akkusativ,no,3
beschädigen,sì,danneggiare,beschädigte,beschädigt,hat beschädigt,Akkusativ,no,2
verletzen,sì,ferire,verletzte,verletzt,hat verletzt,Akkusativ,no,2
verwunden,sì,ferire,verwundete,verwundet,hat verwundet,Akkusativ,no,3
schaden,sì,danneggiare,schadete,geschadet,hat geschadet,Dativ,no,2
nützen,sì,essere utile,nützte,genützt,hat genützt,Dativ,no,2
nutzen,sì,usare,nutzte,genutzt,hat genutzt,Akkusativ,no,2
helfen,no,aiutare,half,geholfen,hat geholfen,Dativ,no,1
unterstützen,sì,sostenere,unterstützte,unterstützt,hat unterstützt,Akkusativ,no,2
beistehen,no,assistere,stand bei,beigestanden,hat beigestanden,Dativ,no,3
assistieren,sì,assistere,assistierte,assistiert,hat assistiert,Dativ,no,3
dienen,sì,servire,diente,gedient,hat gedient,Dativ,no,2
begünstigen,sì,favorire,begünstigte,begünstigt,hat begünstigt,Akkusativ,no,3
bevorzugen,sì,preferire,bevorzugte,bevorzugt,hat bevorzugt,Akkusativ,no,2
vorziehen,no,preferire,zog vor,vorgezogen,hat vorgezogen,Akkusativ,no,2
wählen,sì,scegliere,wählte,gewählt,hat gewählt,Akkusativ,no,1
auswählen,sì,selezionare,wählte aus,ausgewählt,hat ausgewählt,Akkusativ,no,2
aussuchen,sì,scegliere,suchte aus,ausgesucht,hat ausgesucht,Akkusativ,no,2
entscheiden,no,decidere,entschied,entschieden,hat entschieden,Akkusativ,sì,1
bestimmen,sì,decidere,bestimmte,bestimmt,hat bestimmt,Akkusativ,no,2
festlegen,sì,stabilire,legte fest,festgelegt,hat festgelegt,Akkusativ,no,2
festsetzen,sì,fissare,setzte fest,festgesetzt,hat festgesetzt,Akkusativ,no,3
vereinbaren,sì,concordare,vereinbarte,vereinbart,hat vereinbart,Akkusativ,no,2
verabreden,sì,fissare un appuntamento,verabredete,verabredet,hat verabredet,Akkusativ,sì,2
absprechen,no,concordare,sprach ab,abgesprochen,hat abgesprochen,Akkusativ,no,3
koordinieren,sì,coordinare,koordinierte,koordiniert,hat koordiniert,Akkusativ,no,2
abstimmen,sì,coordinare,stimmte ab,abgestimmt,hat abgestimmt,Akkusativ,no,2
anpassen,sì,adattare,passte an,angepasst,hat angepasst,Akkusativ,sì,2
adaptieren,sì,adattare,adaptierte,adaptiert,hat adaptiert,Akkusativ,no,3
modifizieren,sì,modificare,modifizierte,modifiziert,hat modifiziert,Akkusativ,no,3
verändern,sì,modificare,veränderte,verändert,hat verändert,Akkusativ,sì,2
umwandeln,sì,trasformare,wandelte um,umgewandelt,hat umgewandelt,Akkusativ,no,3
verwandeln,sì,trasformare,verwandelte,verwandelt,hat verwandelt,Akkusativ,sì,2
umformen,sì,trasformare,formte um,umgeformt,hat umgeformt,Akkusativ,no,3
gestalten,sì,configurare,gestaltete,gestaltet,hat gestaltet,Akkusativ,no,2
formen,sì,formare,formte,geformt,hat geformt,Akkusativ,no,2
prägen,sì,coniare/caratterizzare,prägte,geprägt,hat geprägt,Akkusativ,no,2
beeinflussen,sì,influenzare,beeinflusste,beeinflusst,hat beeinflusst,Akkusativ,no,2
wirken,sì,agire/avere effetto,wirkte,gewirkt,hat gewirkt,-,no,2
auswirken,sì,avere effetto,wirkte aus,ausgewirkt,hat ausgewirkt,-,sì,2
einwirken,sì,agire su,wirkte ein,eingewirkt,hat eingewirkt,Akkusativ,no,3
betreffen,no,riguardare,betraf,betroffen,hat betroffen,Akkusativ,no,2
angehen,no,riguardare,ging an,angegangen,hat angegangen,Akkusativ,no,2
berühren,sì,toccare,berührte,berührt,hat berührt,Akkusativ,no,2
betasten,sì,palpare,betastete,betastet,hat betastet,Akkusativ,no,3
anfassen,sì,toccare,fasste an,angefasst,hat angefasst,Akkusativ,no,1
greifen,no,afferrare,griff,gegriffen,hat gegriffen,Akkusativ,no,2
ergreifen,no,afferrare,ergriff,ergriffen,hat ergriffen,Akkusativ,no,2
packen,sì,afferrare,packte,gepackt,hat gepackt,Akkusativ,no,1
fassen,sì,afferrare,fasste,gefasst,hat gefasst,Akkusativ,no,2
festhalten,no,tenere fermo,hielt fest,festgehalten,hat festgehalten,Akkusativ,no,2
halten,no,tenere,hielt,gehalten,hat gehalten,Akkusativ,no,1
tragen,no,portare,trug,getragen,hat getragen,Akkusativ,no,1
schleppen,sì,trascinare,schleppte,geschleppt,hat geschleppt,Akkusativ,no,2
ziehen,no,tirare,zog,gezogen,hat gezogen,Akkusativ,no,1
zerren,sì,tirare con forza,zerrte,gezerrt,hat gezerrt,Akkusativ,no,3
drücken,sì,premere,drückte,gedrückt,hat gedrückt,Akkusativ,no,1
pressen,sì,premere,presste,gepresst,hat gepresst,Akkusativ,no,3
schieben,no,spingere,schob,geschoben,hat geschoben,Akkusativ,no,1
stoßen,no,spingere,stieß,gestoßen,hat gestoßen,Akkusativ,no,2
werfen,no,lanciare,warf,geworfen,hat geworfen,Akkusativ,no,1
schleudern,sì,lanciare,schleuderte,geschleudert,hat geschleudert,Akkusativ,no,3
schießen,no,sparare,schoss,geschossen,hat geschossen,Akkusativ,no,2
treffen,no,colpire,traf,getroffen,hat getroffen,Akkusativ,no,1
schlagen,no,colpire,schlug,geschlagen,hat geschlagen,Akkusativ,no,1
hauen,no,picchiare,hieb/haute,gehauen,hat gehauen,Akkusativ,no,2
prügeln,sì,picchiare,prügelte,geprügelt,hat geprügelt,Akkusativ,no,3
boxen,sì,fare a pugni,boxte,geboxt,hat geboxt,-,no,3
kämpfen,sì,combattere,kämpfte,gekämpft,hat gekämpft,-,no,2
fechten,no,fare scherma,focht,gefochten,hat gefochten,-,no,4
ringen,no,lottare,rang,gerungen,hat gerungen,-,no,3
schwimmen,no,nuotare,schwamm,geschwommen,ist geschwommen,-,no,1
tauchen,sì,immergersi,tauchte,getaucht,hat/ist getaucht,-,no,2
segeln,sì,navigare a vela,segelte,gesegelt,ist gesegelt,-,no,3
rudern,sì,remare,ruderte,gerudert,ist gerudert,-,no,3
paddeln,sì,pagaiare,paddelte,gepaddelt,ist gepaddelt,-,no,4
klettern,sì,arrampicarsi,kletterte,geklettert,ist geklettert,-,no,2
steigen,no,salire,stieg,gestiegen,ist gestiegen,-,no,1
springen,no,saltare,sprang,gesprungen,ist gesprungen,-,no,1
hüpfen,sì,saltellare,hüpfte,gehüpft,ist gehüpft,-,no,2
tanzen,sì,ballare,tanzte,getanzt,hat getanzt,-,no,1
singen,no,cantare,sang,gesungen,hat gesungen,Akkusativ,no,1
pfeifen,no,fischiare,pfiff,gepfiffen,hat gepfiffen,Akkusativ,no,2
summen,sì,canticchiare,summte,gesummt,hat gesummt,Akkusativ,no,3
brummen,sì,ronzare,brummte,gebrummt,hat gebrummt,-,no,3
rauschen,sì,scrosciare,rauschte,gerauscht,hat gerauscht,-,no,3
klingen,no,suonare,klang,geklungen,hat geklungen,-,no,2
tönen,sì,risuonare,tönte,getönt,hat getönt,-,no,3
läuten,sì,suonare (campana),läutete,geläutet,hat geläutet,-,no,3
klingeln,sì,suonare (campanello),klingelte,geklingelt,hat geklingelt,-,no,2
läuten,sì,squillare,läutete,geläutet,hat geläutet,-,no,3
ticken,sì,ticchettare,tickte,getickt,hat getickt,-,no,3
schnarchen,sì,russare,schnarchte,geschnarcht,hat geschnarcht,-,no,3
gähnen,sì,sbadigliare,gähnte,gegähnt,hat gegähnt,-,no,2
seufzen,sì,sospirare,seufzte,geseufzt,hat geseufzt,-,no,3
stöhnen,sì,gemere,stöhnte,gestöhnt,hat gestöhnt,-,no,3
ächzen,sì,gemere,ächzte,geächzt,hat geächzt,-,no,4
